
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    [2409:8924:e10:48b3:9dfc:d3f3:70f0:46de]:8231  [2406:d440:10d:902:8fb2:3df9:54c5:cee6]:443  CLOSE_WAIT      21016
  TCP    [2409:8924:e10:48b3:9dfc:d3f3:70f0:46de]:8232  [2406:d440:10d:902:8fb2:3df9:54c5:cee6]:443  CLOSE_WAIT      21016
  TCP    [2409:8924:e10:48b3:9dfc:d3f3:70f0:46de]:16981  [2607:6bc0::10]:443    ESTABLISHED     35552
  TCP    [2409:8924:e10:48b3:9dfc:d3f3:70f0:46de]:18486  [2409:8c02:210:110f::21]:443  CLOSE_WAIT      21016
  TCP    [2409:8924:e10:48b3:9dfc:d3f3:70f0:46de]:19293  [2408:400a:800:6405:5446:fe90:f74e:3b96]:443  CLOSE_WAIT      21016
  TCP    [2409:8924:e10:48b3:9dfc:d3f3:70f0:46de]:19919  [2409:8c1e:8f60::4]:443  ESTABLISHED     11956
  TCP    [2409:8924:e10:48b3:9dfc:d3f3:70f0:46de]:20011  [2402:4e00:32:3fff::29]:443  ESTABLISHED     11956
  TCP    [2409:8924:e10:48b3:9dfc:d3f3:70f0:46de]:20591  [2409:8c4c:e00:2c07::ec]:443  CLOSE_WAIT      21016
  TCP    [2409:8924:e10:48b3:9dfc:d3f3:70f0:46de]:24100  [2408:400a:800:6405:5446:fe90:f74e:3b99]:443  CLOSE_WAIT      21016
  TCP    [2409:8924:e10:48b3:9dfc:d3f3:70f0:46de]:26329  [2400:3200::1]:443     ESTABLISHED     11956
  TCP    [2409:8924:e10:48b3:9dfc:d3f3:70f0:46de]:30461  [2409:8c04:1004:a::15f]:443  ESTABLISHED     4108
  TCP    [2409:8924:e10:48b3:9dfc:d3f3:70f0:46de]:30475  [2409:8c20:818:100::52]:443  ESTABLISHED     2500
  UDP    0.0.0.0:53             *:*                                    4152
  UDP    0.0.0.0:123            *:*                                    15476
  UDP    0.0.0.0:1053           *:*                                    11956
